CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,DCA,[VINEGAR],VINEGAR,VINEGAR WHITE 24X300ML,0.13,0.23,-0.41,?,0,0,-0.41,?
BFPL,EAST,DCB,[CAN-VEG],B-BEANS,BAKED BEANS (24X450)GM,1.07,2.00,-0.46,?,1,2,-0.46,?
BFPL,EAST,DCB,[CAN-VEG],B-SHOOT,BAMBOO SHOOT (24X450)GM,0.02,0.00,-,?,0,0,-,?
BFPL,EAST,DCB,[CAN-VEG],CORN,BABY CORN ( 24 x 800 gm ),0.00,0.01,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCB,[CAN-VEG],CORN,SWEET CORN (24X400)GM,0.02,0.48,-0.97,?,0,1,-0.97,?
BFPL,EAST,DCB,[CAN-VEG],CORN,SWEET CORN (24X450)GM,0.46,0.37,0.23,?,1,0,0.24,?
BFPL,EAST,DCB,[JAM],JAM 1 KG,MANGO JAM (12X1000)GM,0.05,0.15,-0.66,?,0,0,-0.65,?
BFPL,EAST,DCB,[JAM],JAM 1 KG,MIX FRUIT JAM (12X1000)GM,0.22,0.68,-0.67,?,0,1,-0.67,?
BFPL,EAST,DCB,[JAM],JAM 1 KG,ORANGE MARMALADE (12X1000)GM,0.16,0.34,-0.53,?,0,0,-0.53,?
BFPL,EAST,DCB,[JAM],JAM 1 KG,PINEAPPLE JAM (12X1000)GM,0.12,0.13,-0.10,?,0,0,-0.09,?
BFPL,EAST,DCB,[JAM],JAM 200,GUAVA JELL JAM 48 X 200GM,0.00,0.01,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCB,[JAM],JAM 200,MANGO JAM 48 X 200GM,0.01,0.03,-0.81,?,0,0,-0.81,?
BFPL,EAST,DCB,[JAM],JAM 200,MIXED JAM 48 X 200GM,0.04,0.08,-0.56,?,0,0,-0.56,?
BFPL,EAST,DCB,[JAM],JAM 200,ORANGE MARMALADE JAM 48 X200GM,0.00,0.02,-0.85,?,0,0,-0.85,?
BFPL,EAST,DCB,[JAM],JAM 200,PINEAPPLE JAM 48 X200GM,0.01,0.02,-0.72,?,0,0,-0.72,?
